"Length","X2012","X2013","X2014","X2015"
120,678.86,NA,NA,NA
130,590.01,NA,91.32,75.41
140,907.9,169,NA,NA
150,NA,NA,91.32,NA
160,1000.83,12003,273.92,NA
170,5001.4,8656.45,1765.48,4947.62
180,970.02,24719.96,3618.56,1400.24
190,5035.39,6434.54,2990.55,507.44
200,3920.62,14632.2,8974.15,795.58
210,14603.96,38284.64,25419.71,12151.16
220,26244.03,53744.62,54077.63,16090.32
230,58011.6,120794.46,104375.03,45632.62
240,111233.32,177099.62,190425.05,32587.29
250,88621.18,250747.55,265506.05,59246.84
260,188982.56,331781.62,279232.31,159143.37
270,294511.52,482508.52,311065.11,206293.13
280,555282.33,776644.85,454906.72,493747.65
290,855297.98,1151154.74,600702.61,663496.18
300,1280157.15,1528711.01,936357.16,1050685.08
310,2148707.98,2014538.14,1126533.97,1368202.07
320,2814111.99,2710717.5,1365198.31,1862400.84
330,4034662.8,2938101.96,1896103.16,2505627.5
340,5145955.12,3452569.65,2179314.57,3091740.01
350,6261890.67,3852309.72,2885874.34,3765800.34
360,6049250.68,4515405.57,3345118.16,4188106.08
370,6008671.73,4888969.16,3762818.85,4742589.06
380,7219583.32,5667127.53,4554187.57,6066551.26
390,5934434.39,5120769.31,4804147.04,5650047.4
400,5231007.87,4838679.29,5306106.56,5989554.88
410,4164205.92,4110693.48,4644723.64,6003546.08
420,3719749.9,3602363.59,4280664.59,5596981.96
430,2833600.66,2831803.86,3684430.97,5034385.79
440,2273170.1,2477635.22,3023529.35,4560698.79
450,1835032.42,2234123.48,2149910.8,3915902.35
460,1543033.49,1618057.48,1808605.75,3090954.59
470,1262861.46,1314809.68,1352350.08,2635812.69
480,1116968.03,994960.8,1070511.82,2154514.99
490,831590.13,818767.84,790308.32,1923643.6
500,606645.05,604766.8,674123.38,1550400.37
510,459988.51,460334.94,458631.26,1125442.71
520,412241.9,361660.62,323914.9,825013.67
530,304123.88,277572.38,225853.39,682859.15
540,244101.4,202037.39,208273.32,490821.94
550,165002.87,146086.29,163773.85,410658.48
560,107999.39,141584.49,150967.63,369479.11
570,105475.75,123553.46,92686.79,254921.49
580,94285.35,78055.49,67676.54,214072
590,91529.86,56963.47,61324.43,216915.91
600,61856.3,42120.37,70722.69,159349.88
610,48319.77,34420.75,48454.57,121651.06
620,54955.62,25644.25,35828.49,150733.51
630,15546.68,22690.98,28395.28,73664.04
640,28464.34,21016.34,19928.72,82079.51
650,18591.98,15589.02,24360.57,61358.65
660,11300.75,9794.02,19481.55,51605.12
670,8986.49,10655.76,14620.04,68533.89
680,10090.83,12857.36,12033.76,33998.74
690,14281.51,7563.6,9193.82,26616.38
700,7538.88,4986.65,9502.28,32429.95
710,1531.02,4758.04,9628.93,20162.74
720,6595.27,3428.55,8383.39,19563.89
730,3459.34,2991.81,6996.16,18255.98
740,1882.84,2874.12,6336.86,18830.95
750,5971.06,3844.86,5118.71,16807.86
760,5325.21,2539.31,5796.76,17043.5
770,615.08,2941.72,4953.58,15265.15
780,9392.53,7176.75,4502.6,19509.38
790,1454.63,2294.15,3308.33,13588.62
800,2616.31,1915.14,2503.93,12896.84
810,749.61,2311.32,1923.23,12558
820,245.9,2156.75,2648.29,10248.26
830,440.63,578.44,2205.44,7146.98
840,52.55,639.17,1490.23,10435.39
850,258.65,12681.85,560.89,6428.54
860,NA,986.14,1151.84,7117.94
870,377.84,90.56,1978.99,7542.16
880,126.03,173.36,919.62,9716.76
890,49.12,129.69,510.97,4693.67
900,NA,59.96,276.81,20319.01
910,864.93,233.68,276.49,23176.31
920,NA,52.91,143.24,1282.97
930,32.01,1752.73,425.97,1656.52
940,864.93,13.83,88.21,986.85
950,NA,47.61,505.55,1038.64
960,430.91,26.74,175.31,1602.49
970,NA,36.9,356.13,1185.42
980,NA,NA,71.26,4624.38
990,NA,10.06,78.54,653.99
1000,NA,0.75,144.12,504.71
1010,NA,NA,NA,336.54
1020,NA,NA,NA,298.43
1030,NA,5.05,NA,4115.42
1040,NA,21.69,0.18,147.96
1050,NA,152.69,NA,NA
1060,NA,NA,NA,0.22
1070,NA,NA,NA,0.44
1080,NA,NA,NA,502.63
1090,NA,NA,NA,64.83
1100,NA,NA,NA,157.28
1110,NA,NA,NA,312.77
1130,NA,NA,NA,0.44
